ticker,revenue,checked_at
ARLO,560612992.0,2026-06-08 03:51:03.488256
ARLP,2170360064.0,2026-06-08 03:51:03.488256
ARM,4920000000.0,2026-06-08 03:51:03.488256
ARMK,19413805056.0,2026-06-08 03:51:03.488256
ARMP,5202000.0,2026-06-08 03:51:03.488256
AROC,1516422016.0,2026-06-08 03:51:03.488256
AROW,168355008.0,2026-06-08 03:51:03.488256
ARQ,122142000.0,2026-06-08 03:51:03.488256
ARQQ,1086000.0,2026-06-08 03:51:03.488256
ARQQW,1086000.0,2026-06-08 03:51:03.488256
ARQT,415624000.0,2026-06-08 03:51:03.488256
ARR,297457984.0,2026-06-08 03:51:03.488256
ARR$C,,2026-06-08 03:51:03.488256
ARRY,1205190016.0,2026-06-08 03:51:03.488256
ARTC,,2026-06-08 03:51:03.488256
